productType,productName,brand,description,categories,subCategories,NormalPrice,Stock,globalTradeItemNumber,packageSize,visibility,tags,notes
Normal,Portland Cement Type I,Tiga Roda,High-quality Portland cement type I for general construction,Construction A-Z (Genteng),Cement,85000,500,8991001100001,Large,Public,"Popular,Construction",Standard gray cement 50kg
Normal,Portland Cement Type II,Holcim,Moderate sulfate resistant cement for concrete,Construction A-Z (Genteng),Cement,90000,350,8991001100002,Large,Public,"Construction",Sulfate resistant 40kg
Normal,White Cement,Tiga Roda,Premium white cement for decorative finishing,Construction A-Z (Genteng),Cement,125000,200,8991001100003,Large,Public,"Premium,Construction",White decorative cement 40kg
Normal,Rapid Setting Cement,Semen Indonesia,Fast-setting cement for quick repairs,Construction A-Z (Genteng),Cement,95000,150,8991001100004,Large,Public,"Construction,New",Quick dry cement 25kg
Normal,Red Clay Brick Standard,Local Brick,Standard red clay brick for wall construction,Construction A-Z (Genteng),Bricks,1200,5000,8991001200001,Large,Public,"Popular,Construction",Standard size 20x10x5cm
Normal,Hollow Brick 10cm,Mitra Brick,Hollow brick for partition walls,Construction A-Z (Genteng),Bricks,2500,3000,8991001200002,Large,Public,"Construction",Hollow brick 40x20x10cm
Normal,Concrete Block,Indo Block,Heavy-duty concrete block for foundations,Construction A-Z (Genteng),Bricks,3500,2000,8991001200003,Large,Public,"Construction",40x20x20cm concrete block
Normal,Decorative Brick,Artisan Brick,Exposed decorative brick for modern walls,Construction A-Z (Genteng),Bricks,4500,1000,8991001200004,Large,Public,"Premium,Construction",Red exposed brick finish
Normal,River Sand Fine,Local Sand,Fine-grade river sand for plastering,Construction A-Z (Genteng),Sand,75000,800,8991001300001,Large,Public,"Construction",Fine sand per m3
Normal,River Sand Coarse,Local Sand,Coarse-grade river sand for concrete mixing,Construction A-Z (Genteng),Sand,70000,1000,8991001300002,Large,Public,"Popular,Construction",Coarse sand per m3
Normal,Black Sand,Merapi Sand,Volcanic black sand for construction,Construction A-Z (Genteng),Sand,65000,600,8991001300003,Large,Public,"Construction",Volcanic sand per m3
Normal,Silica Sand,Premium Sand,High-quality silica sand for special applications,Construction A-Z (Genteng),Sand,120000,300,8991001300004,Large,Public,"Premium,Construction",Pure silica sand per m3
